clear
[H[2J[3Jgcc -o prog *.c -lm
./prog ./input/N10000_S50_C300_M10.txt ./output/saida.txt
7149 ( 2.864829 )
7152 ( 2.445237 )
7159 ( 2.088456 )
7161 ( 2.274128 )
7169 ( 2.925494 )
7180 ( 2.358321 )
7230 ( 2.360007 )
7234 ( 2.855588 )
7246 ( 1.585356 )
7284 ( 1.651738 )
7292 ( 2.706612 )
7318 ( 2.979647 )
7374 ( 2.072615 )
7396 ( 1.931063 )
7416 ( 1.981301 )
7427 ( 2.282739 )
7428 ( 2.363491 )
7563 ( 3.337059 )
7650 ( 1.967901 )
7660 ( 2.748733 )
7692 ( 3.016348 )
7702 ( 3.613885 )
7732 ( 2.852436 )
7766 ( 2.377648 )
7780 ( 1.975094 )
7841 ( 2.467850 )
7852 ( 2.847756 )
7893 ( 2.586466 )
7917 ( 3.487678 )
7950 ( 3.348428 )
8012 ( 2.113767 )
8023 ( 3.209031 )
8028 ( 3.296812 )
8093 ( 4.095095 )
8102 ( 2.526229 )
8139 ( 3.131878 )
8151 ( 2.557501 )
8168 ( 1.446759 )
8187 ( 2.280527 )
8192 ( 2.165196 )
8232 ( 2.633358 )
8320 ( 3.080675 )
8410 ( 3.182126 )
8443 ( 3.131140 )
8455 ( 1.533722 )
8464 ( 2.379723 )
8564 ( 2.801991 )
8647 ( 2.999071 )
8655 ( 2.324645 )
8659 ( 3.878723 )
8680 ( 2.986737 )
8681 ( 2.808826 )
8698 ( 2.510468 )
8712 ( 2.500932 )
8736 ( 2.738089 )
8739 ( 2.613855 )
8748 ( 2.421469 )
8771 ( 3.002603 )
8823 ( 2.858799 )
8851 ( 2.517987 )
8904 ( 1.572394 )
8907 ( 1.613486 )
8914 ( 1.553512 )
8944 ( 2.162048 )
8980 ( 2.530325 )
9078 ( 3.162793 )
9086 ( 2.871324 )
9105 ( 2.451701 )
9138 ( 2.275596 )
9156 ( 2.044232 )
9160 ( 3.385625 )
9271 ( 2.666116 )
9369 ( 2.279474 )
9380 ( 1.746439 )
9391 ( 2.190166 )
9432 ( 2.791708 )
9465 ( 3.740933 )
9510 ( 2.333730 )
9591 ( 2.593519 )
9644 ( 2.680021 )
9660 ( 2.609196 )
9694 ( 2.366952 )
9701 ( 2.500047 )
9728 ( 2.636684 )
9731 ( 2.068461 )
9754 ( 3.103505 )
9765 ( 3.700691 )
9775 ( 2.551557 )
9795 ( 2.522932 )
9839 ( 3.495686 )
9932 ( 2.413026 )
9945 ( 3.604382 )
9990 ( 3.158252 )

---- RTT 665 ----
48 ( 2.207312 )
78 ( 1.949313 )
102 ( 1.879524 )
133 ( 1.199322 )
191 ( 2.089521 )
275 ( 2.246566 )
289 ( 2.239735 )
307 ( 1.798816 )
335 ( 2.534033 )
364 ( 2.998233 )
456 ( 1.972316 )
490 ( 2.725557 )
513 ( 2.059212 )
534 ( 2.526045 )
574 ( 2.666075 )
627 ( 2.173649 )
644 ( 1.999218 )
673 ( 2.140015 )
743 ( 2.490189 )
764 ( 2.041040 )
819 ( 2.018103 )
874 ( 1.885769 )
911 ( 2.318618 )
913 ( 1.654762 )
975 ( 2.734697 )
993 ( 2.271197 )
1067 ( 2.297261 )
1113 ( 2.489259 )
1175 ( 2.872194 )
1184 ( 2.190772 )
1210 ( 2.802502 )
1229 ( 2.101564 )
1245 ( 2.413616 )
1279 ( 2.551391 )
1336 ( 1.936604 )
1369 ( 2.467944 )
1445 ( 2.376133 )
1517 ( 2.224805 )
1565 ( 2.953653 )
1570 ( 2.978458 )
1590 ( 2.469683 )
1597 ( 2.869905 )
1599 ( 2.301006 )
1665 ( 1.784888 )
1693 ( 2.528563 )
1733 ( 2.635805 )
1773 ( 3.794030 )
1788 ( 2.362605 )
1816 ( 2.542431 )
1871 ( 3.021130 )
1920 ( 3.273181 )
1929 ( 2.146867 )
1952 ( 2.247386 )
1968 ( 2.602794 )
1980 ( 2.201999 )
2082 ( 3.102078 )
2102 ( 2.731262 )
2106 ( 2.009807 )
2228 ( 2.875403 )
2229 ( 2.360095 )
2296 ( 2.304816 )
2322 ( 2.874426 )
2354 ( 2.196284 )
2359 ( 2.519293 )
2455 ( 3.056321 )
2458 ( 2.423477 )
2497 ( 2.633611 )
2500 ( 1.520849 )
2504 ( 2.368164 )
2505 ( 2.386894 )
2531 ( 2.145658 )
2609 ( 2.808768 )
2669 ( 2.574381 )
2744 ( 2.798693 )
2762 ( 2.469743 )
2805 ( 3.416584 )
2870 ( 3.737411 )
2922 ( 2.797244 )
2934 ( 1.944118 )
2997 ( 3.383498 )
3037 ( 3.311991 )
3058 ( 2.940262 )
3090 ( 3.102011 )
3102 ( 2.366998 )
3107 ( 2.977677 )
3217 ( 2.902682 )
3265 ( 2.089521 )
3318 ( 3.015533 )
3365 ( 2.336050 )
3408 ( 1.999295 )
3418 ( 3.871133 )
3449 ( 2.778985 )
3528 ( 2.671674 )
3577 ( 3.501056 )
3647 ( 3.352943 )
3733 ( 1.971515 )
3819 ( 3.119826 )
3824 ( 1.891067 )
3843 ( 3.951873 )
3865 ( 2.532346 )
3868 ( 2.537877 )
3949 ( 2.717935 )
3976 ( 2.302628 )
3988 ( 3.309072 )
3998 ( 2.359006 )
4011 ( 2.993351 )
4020 ( 1.907909 )
4025 ( 2.102013 )
4031 ( 3.120648 )
4036 ( 1.613310 )
4043 ( 2.915149 )
4054 ( 2.664329 )
4063 ( 2.030601 )
4071 ( 2.104372 )
4079 ( 3.502743 )
4109 ( 3.445807 )
4132 ( 2.779501 )
4138 ( 3.009486 )
4153 ( 2.858206 )
4157 ( 2.769875 )
4240 ( 2.697877 )
4272 ( 2.924837 )
4273 ( 2.839688 )
4316 ( 2.927154 )
4388 ( 2.309192 )
4505 ( 2.843259 )
4652 ( 3.117211 )
4705 ( 2.969556 )
4723 ( 2.423270 )
4744 ( 2.805666 )
4751 ( 2.316229 )
4764 ( 2.886947 )
4766 ( 2.150745 )
4797 ( 2.650162 )
4800 ( 3.349536 )
4831 ( 2.386303 )
4837 ( 2.712125 )
4953 ( 2.828127 )
4965 ( 3.306383 )
5005 ( 3.332848 )
5047 ( 2.625764 )
5089 ( 2.605414 )
5124 ( 2.724759 )
5127 ( 2.965003 )
5242 ( 1.436883 )
5294 ( 2.381140 )
5318 ( 3.370459 )
5321 ( 2.281554 )
5453 ( 1.626590 )
5462 ( 3.218487 )
5535 ( 1.777916 )
5538 ( 2.214157 )
5570 ( 2.537950 )
5602 ( 2.320319 )
5662 ( 2.033082 )
5784 ( 2.750860 )
5808 ( 2.968206 )
5822 ( 2.712356 )
5908 ( 1.827340 )
5937 ( 3.227481 )
5978 ( 3.313382 )
6005 ( 2.683251 )
6028 ( 3.564670 )
6044 ( 3.093912 )
6045 ( 2.198041 )
6054 ( 2.467169 )
6055 ( 2.764564 )
6057 ( 2.818167 )
6073 ( 2.421193 )
6091 ( 2.236678 )
6106 ( 3.129250 )
6108 ( 2.776638 )
6130 ( 2.819019 )
6168 ( 3.724570 )
6174 ( 2.750029 )
6185 ( 2.452312 )
6192 ( 2.941689 )
6221 ( 2.584524 )
6261 ( 2.735396 )
6297 ( 3.256774 )
6347 ( 2.530509 )
6351 ( 2.681726 )
6400 ( 3.000821 )
6479 ( 3.069049 )
6516 ( 2.784853 )
6561 ( 2.018080 )
6628 ( 2.184093 )
6767 ( 3.314589 )
6786 ( 3.040271 )
6799 ( 3.297546 )
6828 ( 3.429919 )
6833 ( 2.743698 )
6844 ( 2.414060 )
6846 ( 2.656321 )
6847 ( 3.380278 )
6851 ( 3.165995 )
6871 ( 3.208251 )
6878 ( 3.107612 )
6882 ( 2.903159 )
6885 ( 2.219309 )
6894 ( 2.127718 )
6941 ( 1.441517 )
6967 ( 3.309818 )
6978 ( 2.424123 )
6987 ( 3.503744 )
7020 ( 2.788398 )
7029 ( 2.416717 )
7149 ( 3.432080 )
7152 ( 2.608539 )
7159 ( 2.241328 )
7161 ( 2.589577 )
7169 ( 3.279641 )
7180 ( 2.568499 )
7230 ( 2.793226 )
7234 ( 3.837637 )
7246 ( 1.934993 )
7284 ( 2.111353 )
7292 ( 3.047832 )
7318 ( 3.283916 )
7374 ( 2.531089 )
7396 ( 2.083935 )
7416 ( 2.134173 )
7427 ( 2.435611 )
7428 ( 2.585924 )
7563 ( 3.441160 )
7650 ( 1.821207 )
7660 ( 2.919764 )
7692 ( 2.840846 )
7702 ( 3.723003 )
7732 ( 2.725368 )
7766 ( 2.992404 )
7780 ( 2.292915 )
7841 ( 3.124102 )
7852 ( 3.023554 )
7893 ( 3.085375 )
7917 ( 3.803035 )
7950 ( 3.153450 )
8012 ( 3.010184 )
8023 ( 3.502284 )
8028 ( 3.377332 )
8093 ( 4.528315 )
8102 ( 2.679101 )
8139 ( 3.578148 )
8151 ( 2.808803 )
8168 ( 2.399163 )
8187 ( 2.779437 )
8192 ( 2.615814 )
8232 ( 2.822595 )
8320 ( 3.363224 )
8410 ( 3.193707 )
8443 ( 3.369169 )
8455 ( 2.592073 )
8464 ( 2.761296 )
8564 ( 3.458242 )
8647 ( 3.041193 )
8655 ( 2.994803 )
8659 ( 3.909910 )
8680 ( 3.058081 )
8681 ( 3.307735 )
8698 ( 2.889964 )
8712 ( 2.722981 )
8736 ( 2.932054 )
8739 ( 2.931717 )
8748 ( 2.586775 )
8771 ( 3.163523 )
8823 ( 3.150435 )
8851 ( 2.409586 )
8904 ( 1.706048 )
8907 ( 1.766358 )
8914 ( 1.805632 )
8944 ( 2.621663 )
8980 ( 2.663979 )
9078 ( 3.661703 )
9086 ( 3.122469 )
9105 ( 2.580903 )
9138 ( 2.455566 )
9156 ( 2.197104 )
9160 ( 3.447910 )
9271 ( 2.909497 )
9369 ( 2.571677 )
9380 ( 2.096075 )
9391 ( 2.649781 )
9432 ( 2.944580 )
9465 ( 4.113162 )
9510 ( 1.999607 )
9591 ( 3.113404 )
9644 ( 2.996686 )
9660 ( 2.762068 )
9694 ( 2.621397 )
9701 ( 2.826369 )
9728 ( 3.096299 )
9731 ( 3.565283 )
9754 ( 3.252514 )
9765 ( 3.498158 )
9775 ( 2.704429 )
9795 ( 3.021841 )
9839 ( 4.115901 )
9932 ( 2.877656 )
9945 ( 3.736349 )
9990 ( 3.422286 )

---- RTT 1263 ----
48 ( 2.349470 )
78 ( 2.540014 )
102 ( 2.493381 )
133 ( 1.631235 )
191 ( 2.512569 )
275 ( 2.528300 )
289 ( 2.360357 )
307 ( 1.984714 )
335 ( 2.812154 )
364 ( 3.254413 )
456 ( 2.208093 )
490 ( 2.826541 )
513 ( 2.384874 )
534 ( 2.748358 )
574 ( 2.935061 )
627 ( 2.243800 )
644 ( 2.616789 )
673 ( 2.755682 )
743 ( 2.898766 )
764 ( 2.509845 )
819 ( 2.363652 )
874 ( 2.363652 )
911 ( 2.526728 )
913 ( 1.982655 )
975 ( 2.981058 )
993 ( 2.528431 )
1067 ( 2.302348 )
1113 ( 2.998802 )
1175 ( 2.786241 )
1184 ( 2.205086 )
1210 ( 2.835976 )
1229 ( 2.493574 )
1245 ( 2.975031 )
1279 ( 2.681197 )
1336 ( 2.328614 )
1369 ( 3.146687 )
1445 ( 2.353472 )
1517 ( 2.535578 )
1565 ( 3.540832 )
1570 ( 3.336772 )
1590 ( 2.534885 )
1597 ( 3.570306 )
1599 ( 2.369140 )
1665 ( 2.038042 )
1693 ( 2.355385 )
1733 ( 2.496463 )
1773 ( 4.093121 )
1788 ( 2.372039 )
1816 ( 2.782280 )
1871 ( 3.205318 )
1920 ( 3.279958 )
1929 ( 2.825611 )
1952 ( 2.449425 )
1968 ( 2.388801 )
1980 ( 2.653528 )
2082 ( 3.448007 )
2102 ( 3.014259 )
2106 ( 2.199240 )
2228 ( 3.554147 )
2229 ( 2.668000 )
2296 ( 2.797475 )
2322 ( 2.972514 )
2354 ( 2.588294 )
2359 ( 2.647577 )
2455 ( 3.111683 )
2458 ( 2.763872 )
2497 ( 2.673770 )
2500 ( 1.722887 )
2504 ( 2.608014 )
2505 ( 2.667345 )
2531 ( 2.569890 )
2609 ( 3.036927 )
2669 ( 3.225061 )
2744 ( 3.154665 )
2762 ( 2.510711 )
2805 ( 3.506608 )
2870 ( 3.742498 )
2922 ( 2.802961 )
2934 ( 2.452625 )
2997 ( 3.293140 )
3037 ( 3.291785 )
3058 ( 3.162064 )
3090 ( 3.353501 )
3102 ( 2.500941 )
3107 ( 3.177313 )
3217 ( 2.822432 )
3265 ( 2.591581 )
3318 ( 3.435587 )
3365 ( 2.937794 )
3408 ( 2.261280 )
3418 ( 3.644402 )
3449 ( 2.819763 )
3528 ( 2.900004 )
3577 ( 3.760738 )
3647 ( 3.819121 )
3733 ( 2.311664 )
3819 ( 3.628333 )
3824 ( 2.505984 )
3843 ( 4.081443 )
3865 ( 2.738868 )
3868 ( 2.440083 )
3949 ( 2.750218 )
3976 ( 2.793676 )
3988 ( 3.420616 )
3998 ( 2.308031 )
4011 ( 3.368533 )
4020 ( 2.444201 )
